"","POPULATION_CU","POPULATION","POP_ID","SPECIES","Y_LAT","X_LONGT","CU_NAME","CU_ACRO","FULL_CU_IN","cuid","IS_INDICATOR","REGION","year_start","year_final","START_SPAWN_DT","nYears_START_SPAWN_DT","nYearsOutside_START_SPAWN_DT","PEAK_SPAWN_DT","nYears_PEAK_SPAWN_DT","nYearsOutside_PEAK_SPAWN_DT","END_SPAWN_DT","nYears_END_SPAWN_DT","nYearsOutside_END_SPAWN_DT","DQ_START","DQ_PEAK","DQ_END"
"3673","Maggie River Chum_CM-10","Maggie River Chum",39546,"Chum",48.9849514674454,-125.393489790318,"SOUTHWEST VANCOUVER ISLAND","SWVI","CM-10",978,"N","Vancouver Island & Mainland Inlets",1953,1999,291,31,30,303.266666666667,30,28,318.903225806452,31,27,2,2,2
"3674","Maggie River Coho_CO-17","Maggie River Coho",39542,"Coho",48.9849514674454,-125.393489790318,"WEST VANCOUVER ISLAND","WVI","CO-17",914,"N","Vancouver Island & Mainland Inlets",1953,2000,261.030303030303,33,32,288.984375,32,30,323.015625,32,27,2,2,1
"3675","Mahatta Creek (Quatsino Sound) Chinook Run 1_CK-33","Mahatta Creek (Quatsino Sound) Chinook Run 1",39808,"Chinook",50.4579281793277,-127.865259331131,"WEST VANCOUVER ISLAND-NORTH_FA_0.x","NWVI","CK-33",330,"N","Vancouver Island & Mainland Inlets",1953,1958,218,6,0,237,2,0,249.833333333333,6,0,1,2,1
"3676","Mahatta Creek (Quatsino Sound) Chum Run 1_CM-11","Mahatta Creek (Quatsino Sound) Chum Run 1",39806,"Chum",50.4579281793277,-127.865259331131,"NORTHWEST VANCOUVER ISLAND","NWVI","CM-11",977,"N","Vancouver Island & Mainland Inlets",1953,1978,279,18,8,286.769230769231,13,7,296.944444444444,18,8,1,1,1
"3677","Mahatta Creek (Quatsino Sound) Coho Run 1_CO-15","Mahatta Creek (Quatsino Sound) Coho Run 1",39802,"Coho",50.4579281793277,-127.865259331131,"NAHWITTI LOWLAND","Nahwitti","CO-15",912,"N","Vancouver Island & Mainland Inlets",1953,1998,259.256756756757,37,19,278.016129032258,31,17,312.916666666667,36,18,1,1,1
"3678","Mahatta Creek (Quatsino Sound) Pink Run 1_PKE-3","Mahatta Creek (Quatsino Sound) Pink Run 1",39804,"Pink",50.4579281793277,-127.865259331131,"NORTHWEST VANCOUVER ISLAND","NWVI","PKE-3",919,"N","Vancouver Island & Mainland Inlets",1956,1992,258.333333333333,6,1,258.2,5,1,272.5,6,1,1,2,1
"3679","Mahatta Creek (Quatsino Sound) Sockeye Run 1_SEL-13-20","Mahatta Creek (Quatsino Sound) Sockeye Run 1",39800,"Sockeye",50.4579281793277,-127.865259331131,"O'CONNELL","O'Connell","SEL-13-20",964,"N","Vancouver Island & Mainland Inlets",1966,1993,240.090909090909,22,13,257.318181818182,22,13,274.5,22,13,1,1,1
"3680","Mahood Creek (Mission) Chum_CM-2","Mahood Creek (Mission) Chum",47109,"Chum",49.3418193900853,-121.62805082445,"LOWER FRASER","LFR","CM-2",701,"N","Fraser",1958,2019,287.017857142857,28,12,314.015625,32,16,341.625,36,18,1,1,1
"3681","Mahood Creek (Mission) Coho_CO-47","Mahood Creek (Mission) Coho",47107,"Coho",49.3418193900853,-121.62805082445,"LOWER FRASER","LFR","CO-47",750,"N","Fraser",1958,1993,312.541666666667,24,8,334.92,25,8,370.346153846154,26,8,1,1,1
"3682","Mahood Creek (Mission) Late Sockeye_SEL-03-xx","Mahood Creek (Mission) Late Sockeye",47106,"Sockeye",49.3418193900853,-121.62805082445,"FRASER RIVER MIGRATORY COUNTS<<BIN>>","FRMig","SEL-03-xx",NA,"N","Fraser",1961,1961,NA,0,0,319,1,0,NA,0,0,3,2,3
"3683","Mahood Creek (Mission) Pink_PKO-1","Mahood Creek (Mission) Pink",47108,"Pink",49.3418193900853,-121.62805082445,"FRASER RIVER","FR","PKO-1",710,"N","Fraser",1981,1991,270,5,3,294,5,3,307,5,3,2,2,2
"3684","Mahood River (Clearwater) Chinook Run 1_CK-19","Mahood River (Clearwater) Chinook Run 1",46708,"Chinook",51.9160612469601,-120.194337599259,"NORTH THOMPSON_SU_1.3","NTh-sum","CK-19",319,"Y","Fraser",1970,2010,260.2,30,14,271.236111111111,36,20,281.51724137931,29,14,1,1,1
"3685","Mahood River (Clearwater) Coho_CO-9","Mahood River (Clearwater) Coho",46702,"Coho",51.9160612469601,-120.194337599259,"NORTH THOMPSON","NTHOM","CO-9",709,"N","Fraser",1975,1986,302,4,0,314.8,5,1,326.5,4,0,2,2,2
"3686","Mahwhieclas Creek (Quatsino Sound) Chum Run 1_CM-11","Mahwhieclas Creek (Quatsino Sound) Chum Run 1",39876,"Chum",50.4808529587011,-127.582901159231,"NORTHWEST VANCOUVER ISLAND","NWVI","CM-11",977,"N","Vancouver Island & Mainland Inlets",1969,1996,289.5,9,9,295.444444444444,9,8,304.5,8,7,3,2,2
"3687","Mahwhieclas Creek (Quatsino Sound) Coho Run 1_CO-15","Mahwhieclas Creek (Quatsino Sound) Coho Run 1",39872,"Coho",50.4808529587011,-127.582901159231,"NAHWITTI LOWLAND","Nahwitti","CO-15",912,"N","Vancouver Island & Mainland Inlets",1986,1992,NA,0,0,NA,0,0,NA,0,0,3,3,3
"3688","Maidenhair Creek Coho_CO-16","Maidenhair Creek Coho",40237,"Coho",48.4331378798045,-124.092102377757,"JUAN DE FUCA-PACHENA","JdF","CO-16",913,"N","Vancouver Island & Mainland Inlets",1980,1982,315.666666666667,3,3,320,3,2,331.666666666667,3,1,3,2,2
"3689","Main Arm North (Shuswap Lake Shore) Late Sockeye_SEL-09-03","Main Arm North (Shuswap Lake Shore) Late Sockeye",3397,"Sockeye",50.9635430172284,-119.171665829758,"SHUSWAP COMPLEX-LATE TIMING","Shuswap Complex-L","SEL-09-03",739,"N","Fraser",2002,2022,NA,0,0,295.666666666667,3,3,NA,0,0,3,3,3
"3690","Main Arm South (Shuswap Lake Shore) Late Sockeye_SEL-09-03","Main Arm South (Shuswap Lake Shore) Late Sockeye",3398,"Sockeye",50.8891526176568,-119.398513023557,"SHUSWAP COMPLEX-LATE TIMING","Shuswap Complex-L","SEL-09-03",739,"N","Fraser",2002,2022,NA,0,0,295.6,5,5,NA,0,0,3,3,3
"3691","Malksope River (Kyuquot) Pink Run 1_PKE-2","Malksope River (Kyuquot) Pink Run 1",39664,"Pink",50.1385157561388,-127.422826560337,"WEST VANCOUVER ISLAND","WVI","PKE-2",918,"N","Vancouver Island & Mainland Inlets",1954,1978,261,10,8,271.818181818182,11,8,293.777777777778,9,6,2,2,2
"3692","Malksope River (Kyuquot) Pink Run 1_PKO-6","Malksope River (Kyuquot) Pink Run 1",39664,"Pink",50.1385157561388,-127.422826560337,"WEST VANCOUVER ISLAND","WVI","PKO-6",925,"N","Vancouver Island & Mainland Inlets",1971,1995,NA,0,0,267,1,1,NA,0,0,3,3,3
"3693","Malksope River (Kyuquot) Sockeye Run 1_SER-10","Malksope River (Kyuquot) Sockeye Run 1",39660,"Sockeye",50.1385157561388,-127.422826560337,"WEST VANCOUVER ISLAND","WVI","SER-10",972,"N","Vancouver Island & Mainland Inlets",1979,1995,282.5,5,5,301.25,4,4,317.2,5,5,3,3,3
"3694","Malksope River (Kyuquot) Steelhead_NA","Malksope River (Kyuquot) Steelhead",2940,"Steelhead",NA,NA,NA,NA,NA,NA,NA,NA,1995,1995,NA,0,0,NA,0,0,NA,0,0,3,3,3
"3695","Malksope River Chinook_CK-32","Malksope River Chinook",39668,"Chinook",50.1385157561388,-127.422826560337,"WEST VANCOUVER ISLAND-NOOTKA AND KYUQUOT_FA_0.x","NoKy","CK-32",329,"N","Vancouver Island & Mainland Inlets",1954,2001,263.029411764706,17,14,277.131578947368,19,16,294.638888888889,18,14,2,2,2
"3696","Malksope River Chum_CM-10","Malksope River Chum",39666,"Chum",50.1385157561388,-127.422826560337,"SOUTHWEST VANCOUVER ISLAND","SWVI","CM-10",978,"N","Vancouver Island & Mainland Inlets",1953,2001,278.2,40,35,298.54054054054,37,31,325.78947368421,38,30,1,1,1
"3697","Malksope River Coho_CO-17","Malksope River Coho",39662,"Coho",50.1385157561388,-127.422826560337,"WEST VANCOUVER ISLAND","WVI","CO-17",914,"N","Vancouver Island & Mainland Inlets",1953,2001,276.155172413793,29,24,298.15,30,24,334.379310344828,29,23,1,1,1
"3698","Mamat Creek (Tahsis) Pink Run 1_PKE-2","Mamat Creek (Tahsis) Pink Run 1",41729,"Pink",49.9602988063172,-126.909789834042,"WEST VANCOUVER ISLAND","WVI","PKE-2",918,"N","Vancouver Island & Mainland Inlets",1958,1970,248,6,2,268.333333333333,6,2,278.333333333333,6,2,2,2,2
"3699","Mamat Creek (Tahsis) Sockeye Run 1_SER-10","Mamat Creek (Tahsis) Sockeye Run 1",41725,"Sockeye",49.9602988063172,-126.909789834042,"WEST VANCOUVER ISLAND","WVI","SER-10",972,"N","Vancouver Island & Mainland Inlets",1981,1998,276,4,4,286,4,4,298.75,4,3,3,3,2
"3700","Mamat Creek Chinook_CK-32","Mamat Creek Chinook",41733,"Chinook",49.9602988063172,-126.909789834042,"WEST VANCOUVER ISLAND-NOOTKA AND KYUQUOT_FA_0.x","NoKy","CK-32",329,"N","Vancouver Island & Mainland Inlets",1962,1970,246.5,8,1,269.375,8,1,288.125,8,1,1,1,1
"3701","Mamat Creek Chum_CM-10","Mamat Creek Chum",41731,"Chum",49.9602988063172,-126.909789834042,"SOUTHWEST VANCOUVER ISLAND","SWVI","CM-10",978,"N","Vancouver Island & Mainland Inlets",1953,2001,278.828947368421,38,26,298.27027027027,37,20,316.2,40,20,1,1,1
"3702","Mamat Creek Coho_CO-17","Mamat Creek Coho",41727,"Coho",49.9602988063172,-126.909789834042,"WEST VANCOUVER ISLAND","WVI","CO-17",914,"N","Vancouver Island & Mainland Inlets",1953,2001,274.517857142857,28,18,304.615384615385,26,16,342.351851851852,27,13,1,1,1
"3703","Mamin River (Masset) Chum_CM-24","Mamin River (Masset) Chum",41018,"Chum",53.6213337594565,-132.310522458518,"NORTH HAIDA GWAII","NHG","CM-24",802,"N","Haida Gwaii",2003,2012,279,2,1,289.5,1,1,299.5,1,1,2,3,3
"3704","Mamin River (Masset) Coho_CO-25","Mamin River (Masset) Coho",41016,"Coho",53.6213337594565,-132.310522458518,"HG-GRAHAM ISLAND LOWLANDS","NHG","CO-25",809,"N","Haida Gwaii",1954,2003,269.342105263158,38,12,290.815789473684,38,12,310.657142857143,35,12,1,1,1
"3705","Mamin River (Masset) Pink_PKE-9","Mamin River (Masset) Pink",41017,"Pink",53.6213337594565,-132.310522458518,"NORTH HAIDA GWAII","NHG","PKE-9",810,"Y","Haida Gwaii",1954,2022,238.91935483871,31,17,255.224137931034,29,16,269.177419354839,31,16,1,1,1
"3706","Mamin River (Masset) Pink_PKO-10","Mamin River (Masset) Pink",41017,"Pink",53.6213337594565,-132.310522458518,"NORTH HAIDA GWAII","NHG","PKO-10",814,"N","Haida Gwaii",1965,2022,234.875,4,4,260.625,4,4,273.125,4,4,3,3,3
"3707","Mamin River (Masset) Sockeye_SER-15","Mamin River (Masset) Sockeye",41015,"Sockeye",53.6213337594565,-132.310522458518,"NORTH HAIDA GWAII","NHG","SER-15",817,"N","Haida Gwaii",1974,2010,253.75,2,2,259.785714285714,7,2,273.75,2,2,3,1,3
"3708","Mamquam River (Squamish) Chinook_CK-20","Mamquam River (Squamish) Chinook",49933,"Chinook",49.7334430877942,-123.154662314462,"SOUTHERN MAINLAND-GEORGIA STRAIT_FA_0.x","SMn-GStr","CK-20",320,"N","Vancouver Island & Mainland Inlets",1953,1993,191.897435897436,39,10,213.538461538462,39,10,236.487179487179,39,10,1,1,1
"3709","Mamquam River (Squamish) Chum_CM-3","Mamquam River (Squamish) Chum",49932,"Chum",49.7334430877942,-123.154662314462,"HOWE SOUND-BURRARD INLET","HOWE","CM-3",905,"N","Vancouver Island & Mainland Inlets",1953,1991,312,38,9,337.578947368421,38,9,360.078947368421,38,9,1,1,1
"3710","Mamquam River (Squamish) Coho_CO-10","Mamquam River (Squamish) Coho",49930,"Coho",49.7334430877942,-123.154662314462,"HOWE SOUND-BURRARD INLET","Howe-Burrard","CO-10",907,"N","Vancouver Island & Mainland Inlets",1967,1991,296.583333333333,24,9,329.875,24,9,367.208333333333,24,9,1,1,1
"3711","Mamquam River (Squamish) Pink_PKE-1","Mamquam River (Squamish) Pink",49931,"Pink",49.7334430877942,-123.154662314462,"GEORGIA STRAIT","GStr","PKE-1",917,"N","Vancouver Island & Mainland Inlets",1976,1976,233,1,0,259,1,0,289,1,0,2,2,2
"3712","Mamquam River (Squamish) Pink_PKO-2","Mamquam River (Squamish) Pink",49931,"Pink",49.7334430877942,-123.154662314462,"EAST HOWE SOUND-BURRARD INLET","EHOWE-BUR","PKO-2",921,"N","Vancouver Island & Mainland Inlets",1953,1993,230.52380952381,21,5,258.714285714286,21,5,281.809523809524,21,5,1,1,1
"3713","Mamquam River (Squamish) Sockeye_SER-08","Mamquam River (Squamish) Sockeye",49929,"Sockeye",49.7334430877942,-123.154662314462,"EAST VANCOUVER ISLAND AND GEORGIA STRAIT","EVI-GStr","SER-08",973,"N","Vancouver Island & Mainland Inlets",1973,1991,228.666666666667,6,2,254.166666666667,6,2,274.833333333333,6,2,2,2,2
"3714","Mamquam Spawning Channel (Squamish) Chinook_CK-20","Mamquam Spawning Channel (Squamish) Chinook",49969,"Chinook",49.731609976492,-123.131017752177,"SOUTHERN MAINLAND-GEORGIA STRAIT_FA_0.x","SMn-GStr","CK-20",320,"N","Vancouver Island & Mainland Inlets",1991,1991,237,1,1,248,1,1,268,1,1,3,3,3
"3715","Mamquam Spawning Channel (Squamish) Chum_CM-3","Mamquam Spawning Channel (Squamish) Chum",49968,"Chum",49.731609976492,-123.131017752177,"HOWE SOUND-BURRARD INLET","HOWE","CM-3",905,"N","Vancouver Island & Mainland Inlets",1984,1993,309.5,10,7,330,10,7,356.3,10,8,2,2,2
"3716","Mamquam Spawning Channel (Squamish) Coho_CO-10","Mamquam Spawning Channel (Squamish) Coho",49966,"Coho",49.731609976492,-123.131017752177,"HOWE SOUND-BURRARD INLET","Howe-Burrard","CO-10",907,"N","Vancouver Island & Mainland Inlets",1984,1993,342.3,10,7,370.6,10,8,401.7,10,8,2,2,2
"3717","Mamquam Spawning Channel (Squamish) Pink_PKO-2","Mamquam Spawning Channel (Squamish) Pink",49967,"Pink",49.731609976492,-123.131017752177,"EAST HOWE SOUND-BURRARD INLET","EHOWE-BUR","PKO-2",921,"N","Vancouver Island & Mainland Inlets",1991,1993,242.5,2,2,268,2,2,278,2,2,3,3,3
"3718","Mamquam Spawning Channel (Squamish) Sockeye_SER-08","Mamquam Spawning Channel (Squamish) Sockeye",49965,"Sockeye",49.731609976492,-123.131017752177,"EAST VANCOUVER ISLAND AND GEORGIA STRAIT","EVI-GStr","SER-08",973,"N","Vancouver Island & Mainland Inlets",1984,1992,255.75,4,4,261,4,4,278.75,4,4,3,3,3
"3719","Mann Creek (Clearwater) Chinook Run 1_CK-19","Mann Creek (Clearwater) Chinook Run 1",46678,"Chinook",51.5663568018718,-120.136355696766,"NORTH THOMPSON_SU_1.3","NTh-sum","CK-19",319,"N","Fraser",1955,2008,243,7,3,254.944444444444,9,4,268.5,8,3,2,1,1
"3720","Mann Creek (Clearwater) Coho_CO-9","Mann Creek (Clearwater) Coho",46672,"Coho",51.5663568018718,-120.136355696766,"NORTH THOMPSON","NTHOM","CO-9",709,"Y","Fraser",1975,2014,299.277777777778,18,9,315.318181818182,22,13,327,15,6,1,1,1
"3721","Mann Creek (Clearwater) Summer Sockeye_SEL-10-01","Mann Creek (Clearwater) Summer Sockeye",46670,"Sockeye",51.5663568018718,-120.136355696766,"KAMLOOPS-EARLY SUMMER TIMING","Kamloops-ES","SEL-10-01",740,"N","Fraser",2000,2020,NA,0,0,250.875,8,8,NA,0,0,3,3,3
"3722","Mannion Creek (Vancouver) Chum_CM-3","Mannion Creek (Vancouver) Chum",49462,"Chum",49.4622902018357,-123.447498284681,"HOWE SOUND-BURRARD INLET","HOWE","CM-3",905,"N","Vancouver Island & Mainland Inlets",1969,1993,303.04347826087,23,14,319.173913043478,23,12,340.434782608696,23,11,1,1,1
"3723","Manzanita Cove Creek (Lower Nass) Chum_CM-30","Manzanita Cove Creek (Lower Nass) Chum",43593,"Chum",54.7544691756379,-130.457904134047,"PORTLAND INLET","PortIN","CM-30",404,"N","Nass",2004,2015,227.5,1,1,237.5,1,1,259,2,2,3,3,3
"3724","Manzanita Cove Creek (Lower Nass) Coho_CO-37","Manzanita Cove Creek (Lower Nass) Coho",43591,"Coho",54.7544691756379,-130.457904134047,"PORTLAND SOUND-OBSERVATORY INLET-PORTLAND CANAL","PORT","CO-37",410,"N","Nass",1973,2012,283,1,1,303,1,1,334,1,1,3,3,3
"3725","Manzanita Cove Creek (Lower Nass) Pink_PKE-7","Manzanita Cove Creek (Lower Nass) Pink",43592,"Pink",54.7544691756379,-130.457904134047,"NASS-SKEENA ESTUARY","NSKEst","PKE-7",219,"Y","Skeena",1974,2022,238.619047619048,21,18,253.477272727273,22,19,267.277777777778,18,16,2,2,2
"3726","Manzanita Cove Creek (Lower Nass) Pink_PKO-17","Manzanita Cove Creek (Lower Nass) Pink",43592,"Pink",54.7544691756379,-130.457904134047,"NASS-PORTLAND-OBSERVATORY","NR-PORT-OBS","PKO-17",414,"Y","Nass",1983,2022,243.535714285714,14,11,255.3,15,12,270.136363636364,11,9,2,2,2
"3727","Maple Creek (Alert Bay) Chum Run 1_CM-8","Maple Creek (Alert Bay) Chum Run 1",51016,"Chum",50.6854222606092,-126.459970871972,"SOUTHERN COASTAL STREAMS","SCS","CM-8",900,"N","Vancouver Island & Mainland Inlets",1930,1969,288,4,1,288,4,1,326.5,4,0,2,2,2
"3728","Maple Creek (Alert Bay) Coho Run 1_CO-12","Maple Creek (Alert Bay) Coho Run 1",51012,"Coho",50.6854222606092,-126.459970871972,"SOUTHERN COASTAL STREAMS-QUEEN CHARLOTTE STRAIT-JOHNSTONE STRAIT-SOUTHERN FJORDS","SC+SFj","CO-12",909,"N","Vancouver Island & Mainland Inlets",1930,1999,270.666666666667,6,3,298.416666666667,6,3,329.166666666667,6,2,2,2,2
"3729","Maple Creek (Alert Bay) Pink Run 1_PKE-4","Maple Creek (Alert Bay) Pink Run 1",51014,"Pink",50.6854222606092,-126.459970871972,"SOUTHERN FJORDS","SFj","PKE-4",920,"N","Vancouver Island & Mainland Inlets",1930,2000,243.833333333333,3,3,258.833333333333,3,3,273.833333333333,3,3,3,3,3
"3730","Maple Creek (Alert Bay) Pink Run 1_PKO-7","Maple Creek (Alert Bay) Pink Run 1",51014,"Pink",50.6854222606092,-126.459970871972,"SOUTHERN FJORDS","SC+SFj","PKO-7",926,"N","Vancouver Island & Mainland Inlets",1931,1999,237.5,3,1,258.166666666667,3,1,264.833333333333,3,1,2,2,2
"3731","Maplewood Creek (Vancouver) Chum_CM-3","Maplewood Creek (Vancouver) Chum",49847,"Chum",49.3092142918629,-123.019993175164,"HOWE SOUND-BURRARD INLET","HOWE","CM-3",905,"N","Vancouver Island & Mainland Inlets",1983,1993,295.625,8,6,309.444444444444,9,7,337,7,5,2,2,2
"3732","Maplewood Creek (Vancouver) Coho_CO-10","Maplewood Creek (Vancouver) Coho",49845,"Coho",49.3092142918629,-123.019993175164,"HOWE SOUND-BURRARD INLET","Howe-Burrard","CO-10",907,"N","Vancouver Island & Mainland Inlets",1983,1993,295.5,8,6,322.333333333333,9,7,359.375,8,6,2,2,2
"3733","Mara Lake Late Sockeye_SEL-09-03","Mara Lake Late Sockeye",3090,"Sockeye",50.8157113545133,-118.984352746647,"SHUSWAP COMPLEX-LATE TIMING","Shuswap Complex-L","SEL-09-03",739,"N","Fraser",2002,2018,NA,0,0,292.166666666667,3,2,NA,0,0,3,2,3
"3734","Marble River (Quatsino Sound) Steelhead_NA","Marble River (Quatsino Sound) Steelhead",2941,"Steelhead",NA,NA,NA,NA,NA,NA,NA,NA,1997,1998,NA,0,0,268.5,1,1,NA,0,0,3,3,3
"3735","Marble River Chinook_CK-33","Marble River Chinook",39958,"Chinook",50.5337451681191,-127.509550516345,"WEST VANCOUVER ISLAND-NORTH_FA_0.x","NWVI","CK-33",330,"Y","Vancouver Island & Mainland Inlets",1954,2009,254.75,44,22,284.705128205128,39,21,302.25,42,20,1,1,1
"3736","Marble River Chum_CM-11","Marble River Chum",39956,"Chum",50.5337451681191,-127.509550516345,"NORTHWEST VANCOUVER ISLAND","NWVI","CM-11",977,"Y","Vancouver Island & Mainland Inlets",1954,2009,286.888888888889,36,15,298.774193548387,31,14,310.944444444444,36,15,1,1,1
"3737","Marble River Coho_CO-15","Marble River Coho",39952,"Coho",50.5337451681191,-127.509550516345,"NAHWITTI LOWLAND","Nahwitti","CO-15",912,"Y","Vancouver Island & Mainland Inlets",1954,2009,263.583333333333,42,20,289.716216216216,37,19,322.4,40,20,1,1,1
"3738","Marble River Pink_PKE-3","Marble River Pink",39954,"Pink",50.5337451681191,-127.509550516345,"NORTHWEST VANCOUVER ISLAND","NWVI","PKE-3",919,"N","Vancouver Island & Mainland Inlets",1954,1990,243.714285714286,7,3,255.571428571429,7,3,266.428571428571,7,3,2,2,2
"3739","Marble River Pink_PKO-5","Marble River Pink",39954,"Pink",50.5337451681191,-127.509550516345,"NAHWITTI","Nahwitti","PKO-5",924,"N","Vancouver Island & Mainland Inlets",1965,1985,257.5,2,0,262.5,2,0,266,2,0,2,2,2
"3740","Marble River Sockeye_SEL-13-01","Marble River Sockeye",39950,"Sockeye",50.5337451681191,-127.509550516345,"ALICE","Alice","SEL-13-01",945,"N","Vancouver Island & Mainland Inlets",1968,1998,245.772727272727,11,3,264.136363636364,11,3,280.227272727273,11,3,1,1,1
"3741","Marchand Creek Chum_NA","Marchand Creek Chum",40378,"Chum",NA,NA,NA,NA,NA,NA,NA,NA,1992,1992,NA,0,0,NA,0,0,NA,0,0,3,3,3
"3742","Marchand Creek Coho_NA","Marchand Creek Coho",40376,"Coho",NA,NA,NA,NA,NA,NA,NA,NA,1992,1992,NA,0,0,NA,0,0,NA,0,0,3,3,3
"3743","Margaret Creek (Smith Inlet) Coho_CO-20","Margaret Creek (Smith Inlet) Coho",49720,"Coho",51.3340711947126,-127.489124143371,"SMITH INLET","Smith","CO-20",516,"N","Central Coast",1958,1979,258,2,2,258,2,2,293,2,0,3,3,2
"3744","Maria Slough (Mission) Chinook_CK-7","Maria Slough (Mission) Chinook",47096,"Chinook",49.2341363260063,-121.730547978679,"MARIA SLOUGH_SU_0.3","Maria","CK-7",307,"N","Fraser",1953,2011,265.972972972973,37,11,283.829268292683,41,15,309.951219512195,41,15,1,1,1
"3745","Maria Slough (Mission) Chum_CM-2","Maria Slough (Mission) Chum",47095,"Chum",49.2341363260063,-121.730547978679,"LOWER FRASER","LFR","CM-2",701,"N","Fraser",1953,2019,297.45,40,14,327.452380952381,42,15,351,46,20,1,1,1
"3746","Maria Slough (Mission) Coho_CO-47","Maria Slough (Mission) Coho",47093,"Coho",49.2341363260063,-121.730547978679,"LOWER FRASER","LFR","CO-47",750,"N","Fraser",1953,1995,305.15,40,14,352.3,40,14,396.410256410256,39,14,1,1,1
"3747","Maria Slough (Mission) Late Sockeye_SEL-03-xx","Maria Slough (Mission) Late Sockeye",47092,"Sockeye",49.2341363260063,-121.730547978679,"FRASER RIVER MIGRATORY COUNTS<<BIN>>","FRMig","SEL-03-xx",NA,"N","Fraser",1978,1986,NA,0,0,314,2,1,NA,0,0,3,2,3
"3748","Maria Slough (Mission) Pink_PKO-1","Maria Slough (Mission) Pink",47094,"Pink",49.2341363260063,-121.730547978679,"FRASER RIVER","FR","PKO-1",710,"N","Fraser",1985,1987,288.5,2,2,297.5,2,2,318.5,2,2,3,3,3
"3749","Marion Creek (Alert Bay) Chum Run 1_CM-8","Marion Creek (Alert Bay) Chum Run 1",51221,"Chum",50.9970363622554,-127.049760439017,"SOUTHERN COASTAL STREAMS","SCS","CM-8",900,"N","Vancouver Island & Mainland Inlets",1932,1998,266.776315789474,38,26,287.277777777778,36,23,303.013888888889,36,21,1,1,1
"3750","Marion Creek (Alert Bay) Coho Run 1_CO-12","Marion Creek (Alert Bay) Coho Run 1",51217,"Coho",50.9970363622554,-127.049760439017,"SOUTHERN COASTAL STREAMS-QUEEN CHARLOTTE STRAIT-JOHNSTONE STRAIT-SOUTHERN FJORDS","SC+SFj","CO-12",909,"N","Vancouver Island & Mainland Inlets",1932,1947,NA,0,0,NA,0,0,NA,0,0,3,3,3
"3751","Marion Creek (Alert Bay) Pink Run 1_PKO-8","Marion Creek (Alert Bay) Pink Run 1",51219,"Pink",50.9970363622554,-127.049760439017,"HOMATHKO-KLINAKLINI-SMITH-RIVERS-BELLA COOLA-DEAN","HK_RSI_BCD","PKO-8",610,"N","Vancouver Island & Mainland Inlets",1985,1985,268,1,1,278,1,1,288,1,1,3,3,3
"3752","Marker Creek (Sandspit) Chum_CM-21","Marker Creek (Sandspit) Chum",43338,"Chum",52.4077080967051,-131.36812231573,"EAST HG","EHG","CM-21",801,"N","Haida Gwaii",1962,1995,276.666666666667,24,18,287.12,25,18,298.791666666667,24,13,1,1,1
"3753","Marker Creek (Sandspit) Coho_CO-23","Marker Creek (Sandspit) Coho",43336,"Coho",52.4077080967051,-131.36812231573,"HG-EAST","EHG","CO-23",807,"N","Haida Gwaii",1963,1995,270.285714285714,7,7,286.428571428571,7,6,305.857142857143,7,4,3,2,2
"3754","Markle Inlet Creek (Grenville Principe) Chum_CM-18","Markle Inlet Creek (Grenville Principe) Chum",44263,"Chum",53.6084506868611,-129.904626939531,"HECATE LOWLANDS","NCC-coastal","CM-18",506,"Y","Central Coast",1953,2022,243.75,58,40,257.466666666667,60,40,273.133928571429,56,25,1,1,1
"3755","Markle Inlet Creek (Grenville Principe) Coho_CO-27","Markle Inlet Creek (Grenville Principe) Coho",44261,"Coho",53.6084506868611,-129.904626939531,"HECATE STRAIT MAINLAND","HecLow+HStr","CO-27",520,"N","Central Coast",1958,2020,252.842105263158,19,11,267.3,15,7,287.65625,16,4,1,1,1
"3756","Markle Inlet Creek (Grenville Principe) Pink_PKE-5","Markle Inlet Creek (Grenville Principe) Pink",44262,"Pink",53.6084506868611,-129.904626939531,"HECATE LOWLANDS","HStr-HecLow","PKE-5",608,"N","Central Coast",1972,2020,251.333333333333,12,10,261.766666666667,15,11,276.8,10,6,2,2,2
"3757","Markle Inlet Creek (Grenville Principe) Pink_PKO-12","Markle Inlet Creek (Grenville Principe) Pink",44262,"Pink",53.6084506868611,-129.904626939531,"HECATE STRAIT-LOWLANDS","HStr-HecLow","PKO-12",611,"N","Central Coast",1981,2021,247.15,10,6,262.3,10,6,272.625,8,5,2,2,2
"3758","Markle Inlet Creek Sockeye_SER-16","Markle Inlet Creek Sockeye",3264,"Sockeye",53.6084506868611,-129.904626939531,"NORTHERN COASTAL FJORDS","NCFj","SER-16",614,"N","Central Coast",2005,2017,NA,0,0,NA,0,0,NA,0,0,3,3,3
"3759","Marko Creek (Sandspit) Chum_CM-21","Marko Creek (Sandspit) Chum",42943,"Chum",52.5157656916967,-131.518368228139,"EAST HG","EHG","CM-21",801,"N","Haida Gwaii",1986,1995,271.375,8,8,285.875,8,8,300.375,8,7,3,3,2
"3760","Marko Creek (Sandspit) Coho_NA","Marko Creek (Sandspit) Coho",42941,"Coho",NA,NA,NA,NA,NA,NA,NA,NA,1987,1995,267,3,3,283.666666666667,3,3,308,3,3,3,3,3
